complete_address,latitude,longitude,oev_erreichb_ewap
"Salmenweg 12,4057 Basel",47.58161163330078,7.595142841339111,9003
"Grosspeterstrasse 45 C,4052 Basel",47.545326232910156,7.6018195152282715,9134
"Ormalingerweg 9,4058 Basel",47.56425094604492,7.621792793273926,4992
"Ackerstrasse 38,4057 Basel",47.57802963256836,7.5902252197265625,26460
"Riehenring 207,4058 Basel",47.57147216796875,7.597673416137695,25629
"Horburgstrasse 114,4057 Basel",47.57175064086914,7.597085475921631,25629
"Lachenstrasse 14,4056 Basel",47.568660736083984,7.568936347961426,4640
"Hebelstrasse 77,4056 Basel",47.56214904785156,7.578716278076172,14255
"Totengässlein 5,4051 Basel",47.55867385864258,7.586052894592285,22172
"Pfirtergasse 13,4054 Basel",47.54951858520508,7.5790910720825195,28729
"Wasgenring 91,4055 Basel",47.561180114746094,7.564549922943115,7142
