City,PLZ,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,Listing URL,Etage,Objekttyp,Balkon / Terrasse,Lift,Minergie,Aussicht,Garage,Parkplatz,Kinderfreundlich,Swimmingpool,Haustiere erlaubt,complete_address,latitude,longitude,oev_erreichb_ewap,median_einkommen
Aarau,5000,1706,1706,0,2.5,74,"Rombach,",https://www.immoscout24.ch/mieten/4001992559,,Wohnung,False,False,False,False,False,True,False,False,False,"Rombach,5000 Aarau",47.40126800537109,8.04075813293457,2816,66069.7
Basel,4055,2615,2615,0,3.5,83,"Sierenzerstrasse 38,",https://www.immoscout24.ch/mieten/4001997233,5,Attikawohnung,True,True,False,True,False,False,True,False,False,"Sierenzerstrasse 38,4055 Basel",47.55973434448242,7.569081783294678,16533,66727.1
Basel,4051,5735,5335,400,4.5,150,"Unterer Heuberg 15,",https://www.immoscout24.ch/mieten/4001902915,2,Maisonette / Duplex,True,False,False,True,False,False,False,False,False,"Unterer Heuberg 15,4051 Basel",47.55628967285156,7.587189674377441,22914,66727.1
Basel,4054,4900,4900,0,5.5,135,"Weiherweg 38,",https://www.immoscout24.ch/mieten/4001979979,8,Wohnung,True,True,False,True,True,True,False,False,False,"Weiherweg 38,4054 Basel",47.55381393432617,7.576185703277588,16632,66727.1
Basel,4051,3445,3245,200,3.0,71,"Unterer Heuberg 15,",https://www.immoscout24.ch/mieten/4001902917,2,Wohnung,True,False,False,True,False,False,False,False,False,"Unterer Heuberg 15,4051 Basel",47.55628967285156,7.587189674377441,22914,66727.1
Basel,4058,3180,2900,280,4.5,110,"Erlenmattstr. 67,",https://www.immoscout24.ch/mieten/4001959814,5,Wohnung,False,True,True,False,True,False,False,False,True,"Erlenmattstr. 67,4058 Basel",47.57019805908203,7.602593421936035,47725,66727.1
Basel,4053,1407,1407,0,1.0,23,"Hochstrasse 16,",https://www.immoscout24.ch/mieten/4001410291,,Wohnung,False,True,False,False,True,True,False,False,False,"Hochstrasse 16,4053 Basel",47.54518127441406,7.59266185760498,30418,66727.1
Basel,4058,2361,2151,210,3.5,83,"Erlenmattstr. 83,",https://www.immoscout24.ch/mieten/4001880613,4,Wohnung,False,True,True,False,True,False,False,False,True,"Erlenmattstr. 83,4058 Basel",47.56977462768555,7.60345458984375,47725,66727.1
Basel,4058,1780,1520,260,2.5,60,"Erlenmattstr. 75,",https://www.immoscout24.ch/mieten/4001959817,2,Wohnung,False,True,True,False,True,False,False,False,True,"Erlenmattstr. 75,4058 Basel",47.57048797607422,7.603235244750977,47725,66727.1
Basel,4052,1605,1360,245,2.5,56,"Redingstrasse 10,",https://www.immoscout24.ch/mieten/4001959719,12,Wohnung,True,True,False,True,True,False,False,False,False,"Redingstrasse 10,4052 Basel",47.546512603759766,7.619871616363525,7517,66727.1
Basel,4001,2190,2040,150,3.0,77,"Gerbergasse 70,",https://www.immoscout24.ch/mieten/4001669765,5,Wohnung,False,False,False,False,False,False,False,False,False,"Gerbergasse 70,4001 Basel",47.55539321899414,7.588754177093506,22914,66727.1
Basel,4052,3515,3075,440,4.5,117,"Adlerstrasse 36,",https://www.immoscout24.ch/mieten/4001915264,3,Wohnung,True,True,False,True,True,True,False,False,True,"Adlerstrasse 36,4052 Basel",47.54669189453125,7.610193729400635,5496,66727.1
Basel,4053,1917,1627,290,3.5,82,"Margarethenstrasse 59,",https://www.immoscout24.ch/mieten/4001903453,2,Wohnung,True,True,False,False,False,False,False,False,False,"Margarethenstrasse 59,4053 Basel",47.54594039916992,7.583693504333496,53226,66727.1
Basel,4054,1861,1700,161,2.5,80,"Blochmonterstr. 4,",https://www.immoscout24.ch/mieten/4001894480,1,Wohnung,False,False,False,False,False,False,False,False,False,"Blochmonterstr. 4,4054 Basel",47.54738998413086,7.574863433837891,5188,66727.1
Basel,4058,1460,1210,250,2.0,56,"Paracelsusstrasse 65,",https://www.immoscout24.ch/mieten/4001924356,2,Wohnung,True,False,False,False,True,False,True,False,False,"Paracelsusstrasse 65,4058 Basel",47.56605529785156,7.6113200187683105,19573,66727.1
Basel,4058,3620,3250,370,4.5,118,"Schorenweg 36,",https://www.immoscout24.ch/mieten/4001924355,17,Wohnung,True,True,True,True,True,False,True,False,True,"Schorenweg 36,4058 Basel",47.571434020996094,7.6116461753845215,18866,66727.1
Basel,4058,1805,1595,210,1.0,84,"Erlenmattstr. 73,",https://www.immoscout24.ch/mieten/4001923520,0,Wohnung,False,True,True,False,True,False,False,False,True,"Erlenmattstr. 73,4058 Basel",47.57048416137695,7.602883338928223,47725,66727.1
Basel,4052,2595,2280,315,3.5,84,"Adlerstrasse 32,",https://www.immoscout24.ch/mieten/4001910345,2,Wohnung,True,True,False,True,True,True,False,False,True,"Adlerstrasse 32,4052 Basel",47.546974182128906,7.609964847564697,5496,66727.1
Basel,4058,2140,1950,190,1.5,51,"Rheinfelderstrasse 1,",https://www.immoscout24.ch/mieten/4001910344,5,Attikawohnung,True,True,True,True,True,True,False,False,False,"Rheinfelderstrasse 1,4058 Basel",47.560848236083984,7.598680019378662,10258,66727.1
Basel,4058,2630,2290,340,4.5,91,"Rheinfelderstrasse 3,",https://www.immoscout24.ch/mieten/4001908626,1,Wohnung,True,True,True,True,True,True,False,False,True,"Rheinfelderstrasse 3,4058 Basel",47.5607795715332,7.598718166351318,10258,66727.1
Basel,4054,3246,2960,286,4.5,155,"Blochmonterstr. 4,",https://www.immoscout24.ch/mieten/4001894479,3,Wohnung,True,False,False,False,False,False,False,False,False,"Blochmonterstr. 4,4054 Basel",47.54738998413086,7.574863433837891,5188,66727.1
Basel,4052,1820,1520,300,2.5,73,"Gellertstrasse 2a,",https://www.immoscout24.ch/mieten/4001810866,1,Wohnung,True,True,False,False,False,False,False,False,False,"Gellertstrasse 2a,4052 Basel",47.55222702026367,7.605301380157471,8476,66727.1
Basel,4057,1470,1320,150,2.0,45,"Amerbachstrasse 66,",https://www.immoscout24.ch/mieten/4001761552,3,Wohnung,True,True,False,False,False,False,False,False,False,"Amerbachstrasse 66,4057 Basel",47.56918716430664,7.5941877365112305,21856,66727.1
Basel,4057,1370,1220,150,2.0,37,"Amerbachstrasse 64,",https://www.immoscout24.ch/mieten/4000976400,0,Wohnung,True,True,False,False,False,False,False,False,False,"Amerbachstrasse 64,4057 Basel",47.56895065307617,7.5939741134643555,21856,66727.1
Basel,4052,1540,1540,0,2.5,58,"Gellertpark 4,",https://www.immoscout24.ch/mieten/4001997616,2,Wohnung,True,False,False,True,False,False,True,False,True,"Gellertpark 4,4052 Basel",47.55239868164063,7.608813285827637,8273,66727.1
Basel,4053,2028,1768,260,3.5,70,"Laufenstrasse 4,",https://www.immoscout24.ch/mieten/4001687224,3,Wohnung,True,True,False,True,True,False,False,False,True,"Laufenstrasse 4,4053 Basel",47.54266357421875,7.600114345550537,10524,66727.1
Basel,4052,1990,1755,235,2.5,63,"Adlerstrasse 32,",https://www.immoscout24.ch/mieten/4001910343,2,Wohnung,True,True,False,True,True,True,False,False,True,"Adlerstrasse 32,4052 Basel",47.546974182128906,7.609964847564697,5496,66727.1
Basel,4053,1515,1515,0,1.0,28,"Teichgässlein 9,",https://www.immoscout24.ch/mieten/4001518185,,Wohnung,False,True,False,False,True,True,False,False,False,"Teichgässlein 9,4053 Basel",47.5620231628418,7.592433929443359,18872,66727.1
Basel,4056,2750,2450,300,3.5,120,"Mittlere Strasse 8,",https://www.immoscout24.ch/mieten/4001968404,2,Wohnung,True,False,False,True,False,False,False,False,False,"Mittlere Strasse 8,4056 Basel",47.56061935424805,7.579432487487793,14255,66727.1
Basel,4057,4190,3910,280,4.5,162,"Salmenweg 12,",https://www.immoscout24.ch/mieten/4001956643,5,Wohnung,True,True,False,True,True,True,False,False,False,"Salmenweg 12,4057 Basel",47.58161163330078,7.595142841339111,9003,66727.1
Basel,4052,1765,1565,200,3.0,72,"Grosspeterstrasse 45 C,",https://www.immoscout24.ch/mieten/4001921137,1,Wohnung,False,False,False,True,False,False,False,False,False,"Grosspeterstrasse 45 C,4052 Basel",47.54532623291016,7.601819515228271,9134,66727.1
Basel,4058,1435,1145,290,3.0,73,"Ormalingerweg 9,",https://www.immoscout24.ch/mieten/4001908823,0,Wohnung,True,False,False,False,False,False,True,False,True,"Ormalingerweg 9,4058 Basel",47.56425094604492,7.621792793273926,4992,66727.1
Basel,4057,1870,1710,160,2.5,60,"Ackerstrasse 38,",https://www.immoscout24.ch/mieten/4001764571,2,Wohnung,True,False,False,True,False,True,True,False,True,"Ackerstrasse 38,4057 Basel",47.57802963256836,7.590225219726562,26460,66727.1
Basel,4058,2155,1885,270,3.5,95,"Riehenring 207,",https://www.immoscout24.ch/mieten/4001956487,3,Wohnung,False,True,False,False,False,False,False,False,False,"Riehenring 207,4058 Basel",47.57147216796875,7.597673416137695,25629,66727.1
Basel,4057,2000,1750,250,3.5,88,"Horburgstrasse 114,",https://www.immoscout24.ch/mieten/4001952924,1,Wohnung,False,True,False,False,False,False,False,False,False,"Horburgstrasse 114,4057 Basel",47.57175064086914,7.597085475921631,25629,66727.1
Basel,4056,1660,1390,270,3.0,69,"Lachenstrasse 14,",https://www.immoscout24.ch/mieten/4001884399,3,Wohnung,True,False,False,False,False,False,False,False,False,"Lachenstrasse 14,4056 Basel",47.568660736083984,7.568936347961426,4640,66727.1
Basel,4056,1980,1780,200,3.0,66,"Hebelstrasse 77,",https://www.immoscout24.ch/mieten/4001841191,0,Wohnung,True,False,False,False,False,False,False,False,False,"Hebelstrasse 77,4056 Basel",47.56214904785156,7.578716278076172,14255,66727.1
Basel,4051,2750,2750,0,4.0,115,"Totengässlein 5,",https://www.immoscout24.ch/mieten/4001492609,3,Wohnung,False,False,False,False,False,False,False,False,False,"Totengässlein 5,4051 Basel",47.55867385864258,7.586052894592285,22172,66727.1
Basel,4054,1880,1680,200,2.5,65,"Pfirtergasse 13,",https://www.immoscout24.ch/mieten/4001918750,1,Wohnung,True,True,False,False,False,False,False,False,True,"Pfirtergasse 13,4054 Basel",47.54951858520508,7.579091072082519,28729,66727.1
Basel,4055,1870,1550,320,4.0,89,"Wasgenring 91,",https://www.immoscout24.ch/mieten/4001823275,2,Wohnung,False,False,False,False,False,False,False,False,False,"Wasgenring 91,4055 Basel",47.561180114746094,7.564549922943115,7142,66727.1
Basel,4058,1363,1363,0,2.5,68,"Maulbeerstrasse 163,",https://www.immoscout24.ch/mieten/4001985491,3,Wohnung,True,False,False,False,False,True,False,False,True,"Maulbeerstrasse 163,4058 Basel",47.56967926025391,7.608891487121582,18866,66727.1
Basel,4054,1350,1150,200,2.5,65,"Sennheimerstrasse 51,",https://www.immoscout24.ch/mieten/4001974097,2,Wohnung,True,True,False,False,False,False,False,False,True,"Sennheimerstrasse 51,4054 Basel",47.55411911010742,7.569641590118408,4659,66727.1
Basel,4058,1950,1750,200,3.5,79,"Bleichestrasse 15,",https://www.immoscout24.ch/mieten/4001950065,4,Wohnung,True,True,False,True,True,True,True,False,False,"Bleichestrasse 15,4058 Basel",47.56596755981445,7.600799083709717,52322,66727.1
Basel,4057,1040,900,140,2.0,53,"Wiesenstrasse 21,",https://www.immoscout24.ch/mieten/4001949270,3,Wohnung,True,False,False,True,False,False,False,False,True,"Wiesenstrasse 21,4057 Basel",47.5776481628418,7.593299865722656,9552,66727.1
Basel,4053,2100,2100,0,2.5,56,"Reinacherstrasse 66,",https://www.immoscout24.ch/mieten/4001902907,1,Attikawohnung,True,True,False,False,True,True,False,False,False,"Reinacherstrasse 66,4053 Basel",47.539581298828125,7.602888584136963,19201,66727.1
Basel,4057,2480,2300,180,3.5,98,"Drahtzugstrasse 51,",https://www.immoscout24.ch/mieten/4001949082,5,Wohnung,False,True,False,False,False,False,False,False,False,"Drahtzugstrasse 51,4057 Basel",47.56377410888672,7.596817493438721,14402,66727.1
Basel,4058,2200,2070,130,4.0,85,"Rosentalstrasse, 68,",https://www.immoscout24.ch/mieten/4001982942,4,Wohnung,True,False,False,False,False,False,False,False,False,"Rosentalstrasse, 68,4058 Basel",47.566062927246094,7.606463432312012,24785,66727.1
Basel,4058,2050,1830,220,3.5,77,"Claragraben 84,",https://www.immoscout24.ch/mieten/4001899427,4,Wohnung,False,True,False,True,False,False,False,False,False,"Claragraben 84,4058 Basel",47.56280899047852,7.594296932220459,14402,66727.1
Basel,4053,2243,1943,300,3.5,78,"Laufenstrasse 8,",https://www.immoscout24.ch/mieten/4001338775,2,Wohnung,True,True,False,True,True,False,True,False,True,"Laufenstrasse 8,4053 Basel",47.542423248291016,7.599848747253418,10524,66727.1
Basel,4058,2050,1890,160,2.5,59,"Claragraben 82,",https://www.immoscout24.ch/mieten/4001883304,5,Wohnung,False,True,False,True,False,False,False,False,False,"Claragraben 82,4058 Basel",47.56256866455078,7.594477653503418,14402,66727.1
